username,time,followed,private,notavaliable,toomanyfollowers,liked,target,followedback,cantunfollow
n.t.l.a.u.e,1691421593.550138,False,False,True,False,True,wojtekgola,False,False
nelalagocka,1691421639.3831284,False,False,False,True,True,wojtekgola,False,False
nwm4411,1691421750.0863714,False,True,False,False,False,wojtekgola,False,False
patrykk.ezzzz,1691421785.7299757,False,False,False,False,False,wojtekgola,True,False
patryk.oleszak99,1691421839.0393682,False,False,False,True,True,wojtekgola,False,False
pawel___zielinski,1691421906.6648593,False,True,False,False,False,wojtekgola,False,False
roksana_7k,1691421953.3088484,False,False,True,False,True,wojtekgola,False,False
__huminek__,1691422033.0961618,False,False,True,False,False,wojtekgola,False,False
tomekgwizdz111,1691422081.6934378,False,False,True,False,False,wojtekgola,False,False
vbielickv,1691422172.476832,False,True,False,False,False,wojtekgola,False,False
zuzanna.boros,1691422228.2861242,False,False,False,False,False,wojtekgola,False,False
suzi.jol,1691422290.707064,False,False,False,False,False,wojtekgola,False,False
luka_sz326,1691422372.527116,False,True,False,False,False,wojtekgola,False,False
agnieszkqv,1691422444.6525753,False,False,True,False,True,wojtekgola,False,False
weerka_0,1691422550.6789217,False,False,False,True,False,wojtekgola,False,False
k.kncz,1691422610.0804632,False,False,True,False,False,wojtekgola,False,False
roksana.zawadzka,1691422764.1989455,False,True,False,False,False,boxdel,False,False
privvvv.tujest,1691422817.1931932,False,True,False,False,False,boxdel,False,False
maria_n4422,1691422855.3879793,False,False,False,False,False,boxdel,False,False
walawka_,1691422888.4302936,False,False,False,False,False,boxdel,False,False
vorochak_,1691422932.6744878,True,False,False,False,False,boxdel,False,True
hubert_sowaa,1691422984.259362,False,False,False,False,True,boxdel,False,False
zanka_zs,1691423074.1827872,False,True,False,False,False,boxdel,False,False
mob.i62,1691423136.5426369,False,True,False,False,False,boxdel,False,False
dadii.ezzz,1691423170.8113122,False,False,False,False,False,boxdel,False,False
_blondynecka__,1691423220.376678,False,False,False,False,False,boxdel,False,False
2biegu_nowosc,1691423289.1579108,False,False,False,False,False,boxdel,False,False
ania.pietuch_,1691423335.9747472,False,False,False,False,False,boxdel,False,False
sp1cy.4_u,1691423394.6145926,False,True,False,False,False,boxdel,False,False
batek_szozda,1691423430.3579395,False,False,False,False,False,boxdel,False,False
xbeatkaa,1691423475.5212245,False,False,False,False,True,boxdel,False,False
blanksa_c.asme,1691423541.536754,False,False,False,False,False,boxdel,False,False
dstobinski0,1691423585.659482,False,False,False,False,False,boxdel,False,False
_elena.kosmider_,1691423633.829018,False,False,False,True,True,boxdel,False,False
etojak,1691423673.968744,False,False,False,False,False,boxdel,False,False
pio_emilia,1691423762.6384175,False,True,False,False,False,boxdel,False,False
xxhubs0nxx,1691423794.7733226,False,False,False,True,False,boxdel,False,False
mysinskiigor,1691423862.9994135,False,False,False,False,False,boxdel,False,False
jedrzejskrodzki,1691423955.9682603,False,True,False,False,False,boxdel,False,False
poswiatakacper,1691424001.1148736,False,False,False,False,False,boxdel,False,False
3605kajak3605,1691424064.803843,False,True,False,False,False,boxdel,False,False
k.nowinskaa,1691424107.6384883,False,False,False,False,True,boxdel,False,False
marcel_kapalski,1691424178.5828836,False,False,False,False,False,boxdel,False,False
mirooooo.3,1691424253.129546,True,False,False,False,False,boxdel,False,True
